,city_name,lat,lon,distance_to_center_km,land_area_m2,land_type,actual_price,predicted_price,error,absolute_error,percentage_error,signed_percentage_error
204,Альметьевск,54.8391037,52.07635117,15.831563393839566,1000.0,ИЖС,500000,848495.6499991844,348495.6499991844,348495.6499991844,69.69912999983688,69.69912999983688
72,Альметьевск,55.06030273,52.38767242,18.68214463413242,1200.0,ИЖС,1800000,985986.3166399458,-814013.6833600542,814013.6833600542,45.2229824088919,-45.2229824088919
287,Альметьевск,54.90456772,52.37262726,4.671049757724362,600.0,ИЖС,3500000,3002710.866949496,-497289.13305050414,497289.13305050414,14.208260944300118,-14.208260944300118
353,Альметьевск,54.73679275236375,52.20512622119789,19.138672383936175,2500.0,ИЖС,650000,388716.8856860442,-261283.11431395583,261283.11431395583,40.197402202147046,-40.197402202147046
244,Альметьевск,54.924655065133884,52.38110124821708,5.864135242713581,790.0,ИЖС,2300000,2824753.8989853174,524753.8989853174,524753.8989853174,22.815386912405106,22.815386912405106
172,Альметьевск,54.88679677159347,52.33567078569713,2.7126998520099974,1100.0,ИЖС,4500000,6356045.656532536,1856045.6565325363,1856045.6565325363,41.24545903405636,41.24545903405636
101,Альметьевск,54.86719209906393,52.455356428716826,10.585640750111716,600.0,ИЖС,1950000,1760569.4083404054,-189430.59165959456,189430.59165959456,9.714389315876645,-9.714389315876645
528,Альметьевск,54.948301481135736,52.4062012691858,8.65440188274361,1000.0,"СНТ, ДНП",500000,1060485.640809907,560485.6408099071,560485.6408099071,112.09712816198143,112.09712816198143
513,Альметьевск,54.88497706928119,52.33854660165221,2.977734302959884,1060.0,"СНТ, ДНП",2000000,2302555.6946997647,302555.6946997647,302555.6946997647,15.127784734988236,15.127784734988236
492,Альметьевск,54.929632,52.186144,7.988202606068958,1090.0,ИЖС,2400000,2383050.154263428,-16949.845736572053,16949.845736572053,0.706243572357169,-0.706243572357169
140,Альметьевск,54.89842050772082,52.20394847918294,6.143940923197589,1100.0,ИЖС,2300000,3943909.378825385,1643909.3788253851,1643909.3788253851,71.474320818495,71.474320818495
234,Альметьевск,54.93019104,52.18616104,8.013008248006864,2600.0,"СНТ, ДНП",4150000,1344998.9394938636,-2805001.060506136,2805001.060506136,67.59038700014786,-67.59038700014786
76,Альметьевск,54.93048410122663,52.38289627835273,6.289730006146693,600.0,ИЖС,3500000,3058107.063628702,-441892.93637129804,441892.93637129804,12.625512467751374,-12.625512467751374
426,Альметьевск,54.897314,52.478887,11.441894518983116,1500.0,ИЖС,1990000,1583693.3401711413,-406306.6598288587,406306.6598288587,20.417420091902446,-20.417420091902446
167,Альметьевск,54.90386581,52.37376785,4.735866331227783,600.0,ИЖС,2600000,2971691.528570025,371691.5285700252,371691.5285700252,14.295828021924049,14.295828021924049
302,Альметьевск,54.96392441,52.48243713,13.651795773011589,760.0,"СНТ, ДНП",800000,816861.860988169,16861.860988168977,16861.860988168977,2.1077326235211222,2.1077326235211222
68,Альметьевск,54.8314209,52.36506271,8.688223018749218,1500.0,ИЖС,1500000,1677565.510400564,177565.51040056394,177565.51040056394,11.83770069337093,11.83770069337093
90,Альметьевск,54.90116882,52.29722977,0.21968771152555555,420.0,"СНТ, ДНП",350000,708654.9517528662,358654.95175286615,358654.95175286615,102.47284335796176,102.47284335796176
63,Альметьевск,54.933884,52.393026,7.038686386984548,600.0,ИЖС,3400000,2713448.0990019105,-686551.9009980895,686551.9009980895,20.192702970532043,-20.192702970532043
340,Альметьевск,54.98226547,52.52473831,17.021451863933653,700.0,"СНТ, ДНП",900000,864572.9003650527,-35427.099634947255,35427.099634947255,3.9363444038830284,-3.9363444038830284
453,Альметьевск,54.89081573,52.33694458,2.573706666400113,600.0,"СНТ, ДНП",2600000,2046137.3172669003,-553862.6827330997,553862.6827330997,21.302410874349988,-21.302410874349988
311,Альметьевск,55.06131442341274,52.398154072830145,18.999353113880773,2000.0,ИЖС,2000000,734416.1301445939,-1265583.8698554062,1265583.8698554062,63.27919349277031,-63.27919349277031
442,Альметьевск,55.01742935,52.43086243,15.50169727631778,1000.0,ИЖС,520000,1317537.5313677883,797537.5313677883,797537.5313677883,153.37260218611314,153.37260218611314
33,Альметьевск,54.890314,52.347697,3.2345806483318307,720.0,ИЖС,2300000,3117481.4133131574,817481.4133131574,817481.4133131574,35.54267014405032,35.54267014405032
82,Альметьевск,54.89690121575419,52.195731676569224,6.6758275125127176,1000.0,ИЖС,3449000,3685588.1565406593,236588.15654065926,236588.15654065926,6.859616020314853,6.859616020314853
479,Альметьевск,54.884602,52.458684,10.291251202669397,1850.0,ИЖС,2300000,2415522.171373811,115522.17137381108,115522.17137381108,5.022703103209178,5.022703103209178
0,Альметьевск,54.890319,52.347661,3.2322246846831284,1070.0,"СНТ, ДНП",2600000,2266117.7350938153,-333882.26490618475,333882.26490618475,12.841625573314799,-12.841625573314799
11,Альметьевск,54.91433910821472,52.36817575261449,4.64072482658765,900.0,"СНТ, ДНП",2100000,1504489.9937691218,-595510.0062308782,595510.0062308782,28.357619344327535,-28.357619344327535
452,Альметьевск,54.885139816479104,52.346924210219285,3.425641283491188,400.0,"СНТ, ДНП",200000,736441.6117560518,536441.6117560518,536441.6117560518,268.2208058780259,268.2208058780259
22,Альметьевск,54.926185648902106,52.388838340510205,6.381284815227213,600.0,ИЖС,3300000,3046710.4102701223,-253289.58972987765,253289.58972987765,7.6754421130265955,-7.6754421130265955
476,Альметьевск,54.895013394336985,52.363369144522466,4.089689223046909,650.0,"СНТ, ДНП",800000,1128169.7590923281,328169.75909232814,328169.75909232814,41.02121988654102,41.02121988654102
521,Альметьевск,54.8698616,52.32929993,3.8396521885876376,830.0000000000001,"СНТ, ДНП",650000,657901.0696182648,7901.069618264795,7901.069618264795,1.2155491720407376,1.2155491720407376
176,Альметьевск,55.04875565,52.34398651,16.77739034454356,1000.0,ИЖС,1500000,1573876.3092556836,73876.30925568356,73876.30925568356,4.925087283712237,4.925087283712237
173,Альметьевск,54.87163544,52.3058548,3.1761480350852658,450.0,"СНТ, ДНП",800000,361770.62655467313,-438229.37344532687,438229.37344532687,54.77867168066586,-54.77867168066586
481,Альметьевск,54.9379018,52.3781096,6.532986763958073,1030.0,ИЖС,2990000,3445808.51220822,455808.5122082201,455808.5122082201,15.244431846428766,15.244431846428766
247,Альметьевск,55.03448868,52.50295258,19.78529187922737,2000.0,ИЖС,2000000,818575.701356283,-1181424.298643717,1181424.298643717,59.07121493218585,-59.07121493218585
18,Альметьевск,55.05750384545122,52.38058390066429,18.252943770106153,1200.0,ИЖС,1050000,1288621.2327337177,238621.23273371765,238621.23273371765,22.725831688925492,22.725831688925492
228,Альметьевск,54.90767809658273,52.34587174698348,3.054401362361829,730.0,ИЖС,6200000,3922404.211324301,-2277595.788675699,2277595.788675699,36.73541594638224,-36.73541594638224
