feature,importance
area_m2,57.18949489867253
area_per_room,13.02936172396758
lon,6.745296217238712
lat,5.867682923230521
distance_to_center_km,5.751545115389323
floors_total,4.676371047007534
rooms,2.118644804688351
floor_ratio,1.6768943759146637
floor,1.6495838265990637
is_top_floor,0.6309732408726051
is_first_floor,0.5964760842771285
is_studio,0.06767574214199021
city_name,0.0
