,city_name,lat,lon,distance_to_center_km,house_area_m2,land_area_m2,land_to_house_ratio,house_area_share,actual_price,predicted_price,error,absolute_error,percentage_error,signed_percentage_error
184,Альметьевск,54.871295,52.435732,9.249647249073547,83.3,600.0,7.202881152460985,0.12190838577491585,8500000,6814831.565368227,-1685168.4346317733,1685168.4346317733,19.825510995667923,-19.825510995667923
407,Альметьевск,54.894067,52.197786,6.569016939741867,43.9,1370.0,31.20728929384966,0.031048871914562553,6100000,6540424.708385274,440424.7083852738,440424.7083852738,7.220077186643834,7.220077186643834
180,Альметьевск,54.900368,52.24387,3.589038020752979,239.3,600.0,2.5073129962390306,0.2851185511735971,16980000,22858834.230826426,5878834.230826426,5878834.230826426,34.62210972218154,34.62210972218154
78,Альметьевск,55.050334,52.367802,17.26731589316205,80.2,1000.0,12.468827930174562,0.07424551009072394,9700000,8693587.798734656,-1006412.2012653444,1006412.2012653444,10.375383518199428,-10.375383518199428
305,Альметьевск,54.82672882,52.35640335,8.91116736579914,163.0,900.0,5.521472392638037,0.1533396048918156,17499500,10615569.52454884,-6883930.47545116,6883930.47545116,39.33786951313557,-39.33786951313557
284,Альметьевск,54.8136614609412,52.09422661097814,16.298364401381534,49.0,2800.0,57.142857142857146,0.0171990171990172,890000,1481597.7345257625,591597.7345257625,591597.7345257625,66.47165556469241,66.47165556469241
318,Альметьевск,54.87808535638817,52.272157453689545,3.018074280303457,230.0,1140.0,4.956521739130435,0.1678832116788321,15300000,14237684.696884902,-1062315.3031150978,1062315.3031150978,6.943237275262078,-6.943237275262078
310,Альметьевск,54.89936447,52.32188797,1.401259846709335,25.0,100.0,4.0,0.2,100000,5016143.630974362,4916143.630974362,4916143.630974362,4916.143630974361,4916.143630974361
126,Альметьевск,54.923839639724804,52.15699633601825,9.51723566225908,164.0,1000.0,6.097560975609756,0.140893470790378,10390000,12533685.947146084,2143685.947146084,2143685.947146084,20.63220353364855,20.63220353364855
15,Альметьевск,55.0487442,52.36101151,16.99174561946232,60.0,1380.0,23.0,0.041666666666666664,1590000,3695581.96141167,2105581.96141167,2105581.96141167,132.42653845356415,132.42653845356415
356,Альметьевск,55.04776001,52.3420105,16.647482207369908,180.0,1800.0,10.0,0.09090909090909091,13950000,10944491.34397532,-3005508.6560246795,3005508.6560246795,21.54486491773964,-21.54486491773964
0,Альметьевск,54.9119563122538,52.330897132522,2.38095034488144,193.0,700.0,3.626943005181347,0.21612541993281076,11900000,18655820.293258663,6755820.293258663,6755820.293258663,56.77159910301398,56.77159910301398
181,Альметьевск,54.912185,52.137887,10.451750075390258,57.0,730.0,12.807017543859649,0.0724269377382465,4100000,5015438.418481346,915438.4184813462,915438.4184813462,22.327766304423076,22.327766304423076
335,Альметьевск,54.896258,52.200499,6.3757487129935875,54.8,1250.0,22.810218978102192,0.04199877375843041,5200000,7304679.136562501,2104679.136562501,2104679.136562501,40.4745987800481,40.4745987800481
244,Альметьевск,54.88757324,52.35069656,3.5241161766665634,94.0,660.0,7.0212765957446805,0.1246684350132626,5250000,6403660.897220781,1153660.897220781,1153660.897220781,21.97449328039583,21.97449328039583
337,Альметьевск,54.92157498460778,52.37809793915213,5.538593686533205,90.0,800.0,8.88888888888889,0.10112359550561797,4900000,9146801.874222677,4246801.874222677,4246801.874222677,86.66942600454443,86.66942600454443
354,Альметьевск,54.98535048972198,52.22301859007919,10.688554971250687,81.8,360.0,4.400977995110025,0.18515165233137165,3200000,4601683.161376137,1401683.1613761373,1401683.1613761373,43.802598793004286,43.802598793004286
72,Альметьевск,55.04875565,52.34398651,16.77739034454356,74.8,900.0,12.032085561497327,0.07673368896183833,4500000,7025587.811500219,2525587.8115002187,2525587.8115002187,56.12417358889375,56.12417358889375
90,Альметьевск,54.899074,52.310929,0.7063281774383994,246.0,700.0,2.845528455284553,0.26004228329809725,19490000,29928740.048019633,10438740.048019633,10438740.048019633,53.55946663940294,53.55946663940294
