,city_name,lat,lon,distance_to_center_km,area_m2,rooms,is_studio,floor,floors_total,floor_ratio,area_per_room,is_top_floor,is_first_floor,actual_price,predicted_price,error,absolute_error,percentage_error,signed_percentage_error
675,Альметьевск,54.909168,52.328698,2.0988752965409465,70.0,3.0,0,3,10,0.3,23.333333333333332,0,0,7450000,7867072.7742990805,417072.7742990805,417072.7742990805,5.5982922724708795,5.5982922724708795
23,Альметьевск,54.906031,52.310363,0.9426988569211403,96.5,4.0,0,1,2,0.5,24.125,0,1,19000000,10602217.116031686,-8397782.883968314,8397782.883968314,44.198857284043754,-44.198857284043754
589,Альметьевск,54.900125,52.257066,2.7451306720662187,100.6,3.0,0,1,9,0.1111111111111111,33.53333333333333,0,1,8600000,10792942.14026531,2192942.14026531,2192942.14026531,25.49932721238733,25.49932721238733
431,Альметьевск,54.90281296,52.26594925,2.19940444395823,75.0,3.0,0,5,5,1.0,25.0,1,0,7300000,7839280.347734125,539280.3477341253,539280.3477341253,7.3874020237551425,7.3874020237551425
209,Альметьевск,54.89041,52.28283,1.530553978685245,60.9,2.0,0,16,16,1.0,30.45,1,0,9007110,8941098.240722433,-66011.75927756727,66011.75927756727,0.7328850128128476,-0.7328850128128476
63,Альметьевск,54.89203,52.28391,1.3579185370644744,73.9,2.0,0,14,16,0.875,36.95,0,0,10486410,10440789.665394146,-45620.334605854005,45620.334605854005,0.43504244642212164,-0.43504244642212164
239,Альметьевск,54.89041,52.28283,1.530553978685245,77.6,3.0,0,5,9,0.5555555555555556,25.866666666666664,0,0,11011440,10894243.545967268,-117196.45403273217,117196.45403273217,1.06431542135027,-1.06431542135027
370,Альметьевск,54.905835236493544,52.30137189998375,0.6547500469216941,47.4,3.0,0,2,5,0.4,15.799999999999999,0,0,5350000,4981149.340040028,-368850.6599599719,368850.6599599719,6.894404859064895,-6.894404859064895
744,Альметьевск,54.90971,52.28456,1.462901925358752,104.4,4.0,0,3,9,0.3333333333333333,26.1,0,0,11533990,11758679.748810032,224689.74881003238,224689.74881003238,1.9480660969016999,1.9480660969016999
652,Альметьевск,54.89329529,52.31155014,1.0494147875838011,17.0,1.0,0,1,9,0.1111111111111111,17.0,0,1,1550000,1484955.8309109206,-65044.16908907937,65044.16908907937,4.1963980057470565,-4.1963980057470565
625,Альметьевск,54.90666199,52.32584,1.810497160132141,31.0,1.0,0,3,5,0.6,31.0,0,0,3200000,3596006.9536598255,396006.9536598255,396006.9536598255,12.375217301869547,12.375217301869547
215,Альметьевск,54.89041,52.28283,1.530553978685245,73.0,2.0,0,1,9,0.1111111111111111,36.5,0,1,10183500,10015912.093297465,-167587.90670253523,167587.90670253523,1.645680823906665,-1.645680823906665
519,Альметьевск,54.90809631,52.31750488,1.436275646775531,32.0,1.0,0,5,5,1.0,32.0,1,0,3570000,3847981.955214599,277981.95521459915,277981.95521459915,7.786609389764681,7.786609389764681
494,Альметьевск,54.903919,52.311935,0.8787246142886106,70.1,3.0,0,2,3,0.6666666666666666,23.366666666666664,0,0,7000000,7317621.7720161,317621.77201609965,317621.77201609965,4.537453885944281,4.537453885944281
832,Альметьевск,54.90625381,52.25089645,3.215418480168115,87.3,3.0,0,5,9,0.5555555555555556,29.099999999999998,0,0,10450000,10085289.457140295,-364710.54285970517,364710.54285970517,3.4900530417196665,-3.4900530417196665
453,Альметьевск,54.910834,52.295846,1.2336088457579248,61.3,3.0,0,5,5,1.0,20.433333333333334,1,0,5600000,5616855.548017633,16855.548017633148,16855.548017633148,0.3009919288863062,0.3009919288863062
352,Альметьевск,54.907579,52.2853,1.2623139506946692,64.9,3.0,0,6,9,0.6666666666666666,21.633333333333336,0,0,6600000,6815773.693879389,215773.6938793892,215773.6938793892,3.269298392111958,3.269298392111958
549,Альметьевск,54.89002,52.23803,4.115160423323737,57.8,2.0,0,11,16,0.6875,28.9,0,0,8750000,8839645.07949839,89645.07949838974,89645.07949838974,1.0245151942673112,1.0245151942673112
280,Альметьевск,54.912998,52.259168,2.983704846232661,40.0,1.0,0,7,14,0.5,40.0,0,0,6100000,4997348.064819885,-1102651.9351801146,1102651.9351801146,18.076261232460894,-18.076261232460894
247,Альметьевск,54.89041,52.28283,1.530553978685245,69.8,2.0,0,13,16,0.8125,34.9,0,0,10114020,10253309.894966692,139289.89496669173,139289.89496669173,1.3771961590613004,1.3771961590613004
213,Альметьевск,54.89041,52.28283,1.530553978685245,66.7,2.0,0,1,16,0.0625,33.35,0,1,9664830,9471494.722103152,-193335.27789684758,193335.27789684758,2.0004001922108055,-2.0004001922108055
137,Альметьевск,54.902465,52.362546,4.008305338143097,42.0,2.0,0,2,5,0.4,21.0,0,0,3700000,3622685.968104706,-77314.03189529385,77314.03189529385,2.0895684296025365,-2.0895684296025365
