feature,importance
house_area_m2,26.05754983436056
distance_to_center_km,19.592843525101
lat,12.342102376733466
land_to_house_ratio,11.185641293506619
lon,10.984799982534403
house_area_share,10.87484098106764
land_area_m2,8.96222200669631
city_name,0.0
