iter	Passed	Remaining
405	6207	16726
406	6220	16704
407	6237	16695
408	6250	16674
409	6272	16676
410	6287	16660
411	6306	16653
412	6319	16633
413	6336	16621
414	6360	16628
415	6372	16605
416	6386	16586
417	6413	16601
418	6434	16599
419	6450	16587
420	6466	16574
421	6483	16563
422	6497	16543
423	6511	16525
424	6524	16502
425	6538	16483
426	6551	16463
427	6564	16442
428	6576	16418
429	6588	16394
430	6600	16371
431	6612	16348
432	6626	16328
433	6641	16312
434	6653	16289
435	6680	16301
436	6692	16279
437	6701	16249
438	6713	16226
439	6728	16210
440	6743	16193
441	6755	16170
442	6767	16148
443	6783	16134
444	6798	16118
445	6806	16085
446	6818	16062
447	6831	16041
448	6860	16057
449	6875	16043
450	6888	16022
451	6901	16002
452	6913	15979
453	6927	15959
454	6937	15933
455	6950	15912
456	6963	15892
457	6975	15869
458	6987	15846
459	6999	15824
460	7011	15802
461	7023	15779
462	7035	15758
463	7048	15737
464	7061	15717
465	7076	15701
466	7089	15682
467	7104	15666
468	7116	15644
469	7128	15622
470	7141	15601
471	7190	15660
472	7206	15648
473	7219	15626
474	7231	15604
475	7245	15586
476	7257	15564
477	7272	15549
478	7285	15529
479	7299	15511
480	7313	15492
481	7325	15471
482	7339	15453
483	7352	15433
484	7364	15412
485	7382	15402
486	7415	15425
487	7439	15426
488	7455	15413
489	7469	15395
490	7482	15375
491	7495	15357
492	7512	15345
493	7524	15324
494	7536	15302
495	7549	15282
496	7562	15262
497	7576	15243
498	7590	15225
499	7605	15211
500	7626	15206
501	7647	15203
502	7667	15197
503	7680	15177
504	7697	15167
505	7718	15163
506	7737	15153
507	7755	15143
508	7770	15128
509	7790	15123
510	7809	15113
511	7830	15110
512	7848	15101
513	7867	15091
514	7885	15081
515	7902	15070
516	7919	15058
517	7936	15044
518	7950	15028
519	7964	15010
520	7978	14992
521	7994	14978
522	8006	14957
523	8019	14936
524	8031	14916
525	8044	14896
526	8059	14879
527	8072	14860
528	8086	14842
529	8098	14821
530	8109	14799
531	8123	14780
532	8137	14763
533	8150	14744
534	8162	14723
535	8177	14707
536	8192	14691
537	8208	14677
538	8222	14659
539	8234	14639
540	8248	14622
541	8261	14602
542	8275	14585
543	8287	14564
544	8300	14544
545	8308	14516
546	8319	14494
547	8332	14475
548	8351	14467
549	8369	14456
550	8390	14450
551	8408	14440
552	8428	14433
553	8441	14415
554	8456	14399
555	8469	14380
556	8483	14362
557	8498	14347
558	8513	14331
559	8525	14311
560	8540	14294
561	8552	14274
562	8565	14256
563	8579	14237
564	8587	14211
565	8598	14188
566	8612	14171
567	8626	14155
568	8641	14139
569	8655	14122
570	8668	14103
571	8680	14083
572	8693	14063
573	8705	14044
574	8718	14025
575	8732	14008
576	8746	13991
577	8759	13972
578	8774	13958
579	8788	13940
580	8801	13921
581	8817	13907
582	8829	13888
583	8842	13870
584	8858	13855
585	8873	13839
586	8884	13819
587	8898	13801
588	8912	13785
589	8925	13766
590	8939	13749
591	8951	13729
592	8963	13709
593	8975	13690
594	9005	13697
595	9017	13677
596	9029	13658
597	9043	13640
598	9055	13620
599	9070	13605
600	9085	13590
601	9097	13570
602	9112	13554
603	9124	13535
604	9136	13516
605	9149	13497
606	9162	13479
607	9174	13460
608	9187	13442
609	9204	13428
610	9217	13411
611	9232	13395
612	9244	13376
613	9271	13378
614	9283	13359
615	9297	13343
616	9311	13325
617	9328	13313
618	9342	13297
619	9355	13279
620	9385	13284
621	9408	13280
622	9428	13272
623	9444	13258
624	9461	13246
625	9475	13228
626	9487	13210
627	9500	13191
628	9512	13172
629	9527	13157
630	9541	13140
631	9554	13121
632	9568	13105
633	9582	13088
634	9595	13071
635	9608	13052
636	9620	13033
637	9633	13016
638	9649	13001
639	9665	12987
640	9680	12972
641	9695	12957
642	9710	12941
643	9722	12923
644	9734	12904
645	9749	12889
646	9765	12874
647	9780	12859
648	9794	12843
649	9807	12825
650	9820	12806
651	9833	12789
652	9846	12771
653	9860	12755
654	9889	12758
655	9902	12739
656	9916	12723
657	9930	12707
658	9946	12693
659	9961	12678
660	9975	12661
661	9987	12643
662	9999	12624
663	10012	12606
664	10028	12592
665	10041	12573
666	10053	12555
667	10069	12541
668	10081	12523
669	10095	12505
670	10108	12489
671	10123	12473
672	10136	12455
673	10148	12437
674	10162	12420
675	10181	12410
676	10198	12398
677	10211	12380
678	10224	12362
679	10237	12345
680	10251	12329
681	10272	12320
682	10286	12304
683	10300	12287
684	10313	12270
685	10327	12255
686	10343	12240
687	10360	12228
688	10382	12221
689	10404	12213
690	10425	12205
691	10442	12193
692	10456	12176
693	10472	12163
694	10487	12146
695	10502	12132
696	10518	12117
697	10533	12102
698	10546	12085
699	10562	12071
700	10575	12053
701	10590	12038
702	10602	12020
703	10617	12004
704	10629	11986
705	10641	11967
706	10655	11951
707	10668	11934
708	10683	11919
709	10698	11903
710	10710	11885
711	10724	11869
712	10739	11853
713	10752	11836
714	10773	11828
715	10793	11819
716	10807	11801
717	10827	11793
718	10839	11774
719	10853	11758
720	10865	11739
721	10879	11723
722	10894	11708
723	10906	11689
724	10920	11673
725	10933	11656
726	10948	11641
727	10960	11623
728	10974	11606
729	10987	11589
730	10999	11571
731	11014	11556
732	11028	11540
733	11041	11522
734	11056	11508
735	11070	11491
736	11084	11475
737	11123	11485
738	11146	11478
739	11160	11462
740	11189	11461
741	11209	11451
742	11225	11437
743	11238	11420
744	11252	11403
745	11265	11385
746	11283	11374
747	11307	11368
748	11325	11356
749	11351	11351
750	11388	11357
751	11580	11518
752	11917	11822
753	12204	12075
754	12319	12156
755	12442	12245
756	12507	12275
757	12576	12311
758	12616	12317
759	12658	12325
760	12849	12478
761	13265	12848
762	13345	12890
763	13702	13200
764	13759	13219
765	13831	13253
766	13891	13275
767	13974	13319
768	14027	13334
769	14099	13367
770	14146	13375
771	14197	13387
772	14246	13399
773	14321	13433
774	14375	13447
775	14442	13474
776	14509	13501
777	14568	13519
778	14609	13521
779	14636	13510
780	14667	13503
781	14699	13496
782	14730	13489
783	14760	13480
784	14816	13495
785	14837	13478
786	14863	13465
787	14893	13457
788	14916	13441
789	14942	13429
790	14961	13410
791	14985	13396
792	15003	13376
793	15021	13356
794	15038	13336
795	15055	13315
796	15072	13294
797	15093	13277
798	15111	13258
799	15129	13238
800	15146	13217
801	15177	13209
802	15197	13191
803	15226	13181
804	15252	13168
805	15267	13146
806	15283	13124
807	15296	13100
808	15309	13076
809	15324	13054
810	15339	13032
811	15373	13025
812	15387	13002
813	15398	12977
814	15410	12952
815	15423	12928
816	15437	12905
817	15478	12905
818	15499	12888
819	15513	12864
820	15525	12840
821	15538	12816
822	15551	12792
823	15566	12770
824	15580	12747
825	15593	12723
826	15608	12701
827	15620	12677
828	15635	12655
829	15647	12631
830	15661	12608
831	15675	12585
832	15690	12563
833	15697	12535
834	15710	12511
835	15722	12487
836	15734	12463
837	15746	12439
838	15760	12416
839	15773	12393
840	15797	12378
841	15812	12356
842	15828	12336
843	15843	12314
844	15857	12291
845	15869	12267
846	15883	12245
847	15896	12222
848	15910	12200
849	15923	12176
850	15937	12154
851	15950	12131
852	15965	12110
853	15981	12088
854	15993	12065
855	16005	12041
856	16019	12019
857	16034	11998
858	16048	11975
859	16061	11953
860	16074	11929
861	16090	11909
862	16105	11887
863	16119	11865
