iter	MAE	RMSE
227	1182752.116	1984452.972
228	1181358.504	1979884.895
229	1178407.672	1973823.608
230	1175879.894	1966361.227
231	1174152.986	1961576.302
232	1172979.663	1958417.35
233	1169216.158	1952002.801
234	1168939.221	1951490.132
235	1167034.268	1945545.193
236	1164545.367	1940905.312
237	1161668.523	1934660.366
238	1161226.168	1933920.719
239	1159129.288	1932021.621
240	1158268.35	1929657.378
241	1158098.805	1929376.096
242	1156586.874	1924690.666
243	1155418.994	1922065.41
244	1155262.386	1921675.505
245	1155089.452	1921413.985
246	1151774.893	1914259.506
247	1151609.719	1913834.471
248	1150389.274	1910516.259
249	1149004.304	1907003.552
250	1146779.699	1904319.19
251	1143893.274	1901013.668
252	1142313.805	1895801.306
253	1142156.7	1895548.733
254	1142008.01	1895310.995
255	1139659.932	1889933.814
256	1137463.227	1887843.617
257	1132990.156	1883092.815
258	1130915.038	1879041.703
259	1128599.024	1873290.839
260	1123948.508	1864223.379
261	1123661.561	1863819.289
262	1121536.229	1859288.032
263	1121180.02	1858649.885
264	1120616.481	1857750.875
265	1118548.639	1853894.265
266	1116910.716	1850462.632
267	1115818.279	1846872.347
268	1115463.934	1846018.367
269	1115321.865	1845811.106
270	1112209.951	1841200.587
271	1110191.971	1835471.48
272	1108502.224	1833825.296
273	1104645.835	1828665.075
274	1103228.856	1824049.091
275	1103088.512	1823853.479
276	1101408.472	1818919.757
277	1101114.017	1818559.642
278	1100657.107	1817702.607
279	1099075.492	1812822.601
280	1094498.223	1805964.885
281	1093575.044	1802818.514
282	1092503.904	1801182.188
283	1091512.686	1799952.814
284	1087842.015	1791110.702
285	1087694.138	1790921.48
286	1086370.684	1787219.45
287	1084873.265	1783036.367
288	1083653.44	1779608.26
289	1083124.458	1777789.876
290	1082134.995	1776272.621
291	1079486.436	1770124.784
292	1077145.657	1764488.717
293	1076395.169	1762301.081
294	1074121.611	1760442.151
295	1073443.691	1759137.751
296	1071217.575	1756587.847
297	1070058.455	1753740.111
298	1069910.347	1753558.028
